X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
-8.6349200,41.1715000,1,90,0,0
-8.6313300,42.1825800,1,80,0,0
-8.6295300,41.1724400,1,90,0,0
-8.6257500,42.1577800,1,120,0,0
-8.6216700,41.1736100,1,90,0,0
-8.6135300,42.8066100,1,120,0,0
-8.5965300,42.2447200,1,50,0,0
-8.5821400,41.1599700,1,90,0,0
-8.5709200,37.1592200,1,60,0,0
-8.5510600,42.8715300,1,50,0,0
-8.5465800,42.8680300,1,50,0,0
-8.5455300,42.8710300,1,50,0,0
-8.5455300,42.8711400,1,50,0,0
-8.5335600,42.8916400,1,50,0,0
-8.5269400,43.2770000,1,0,0,0
-8.4537500,43.3350300,1,50,0,0
-8.4057500,43.0804200,1,30,0,0
-8.4032800,42.9082200,1,70,0,0
-8.3952500,43.3299200,1,80,0,0
-8.3840300,42.1667500,1,100,0,0
-8.3788100,43.3326900,1,50,0,0
-8.3709700,42.1739700,1,100,0,0
-8.3368900,42.1800600,1,100,0,0
-8.2902800,42.9886100,1,50,0,0
-8.1824700,37.1076100,1,50,0,0
-8.1815000,43.0911700,1,80,0,0
-8.1732500,43.4757200,1,50,0,0
-8.1713900,43.2433300,1,120,0,0
-8.1430600,42.3028100,1,120,0,0
-8.1075600,42.3081700,1,120,0,0
-8.0237500,42.9229200,1,70,0,0
-7.9689700,43.1923300,1,120,0,0
-7.8963900,42.2874200,1,100,0,0
-7.8750000,42.2870600,1,120,0,0
-7.8676100,40.6511100,1,80,0,0
-7.8605600,40.6480600,1,80,0,0
-7.8579200,42.2844700,1,80,0,0
-7.8547200,42.3683300,1,70,0,0
-7.8286100,43.1850300,1,120,0,0
-7.7205300,42.0879200,1,120,0,0
-7.7136100,43.1747200,1,120,0,0
-7.6987500,43.2821400,1,120,0,0
-7.6976400,43.2950000,1,120,0,0
-7.6956700,42.4916700,1,90,0,0
-7.6698900,43.2552200,1,70,0,0
-7.5830000,43.0167800,1,100,0,0
-7.5603900,43.0097500,1,50,0,0
-7.5603900,43.0263300,1,50,0,0
-7.5561100,43.0139200,1,50,0,0
-7.5459400,42.9976100,1,40,0,0
-7.5153300,41.9607200,1,120,0,0
-7.4572200,41.9201100,1,120,0,0
-7.4548300,43.3615600,1,120,0,0
-7.3993100,43.3786900,1,100,0,0
-7.3040300,42.9082800,1,120,0,0
-7.2722500,43.5046900,1,120,0,0
-7.1513900,42.8627800,1,120,0,0
-7.1024200,42.0551700,1,120,0,0
-7.0519700,42.7435800,1,120,0,0
-7.0348600,42.4115300,1,80,0,0
-7.0180600,37.2055600,1,100,0,0
-6.9904200,37.2686900,1,100,0,0
-6.9890800,42.6873600,1,120,0,0
-6.9850600,37.2716700,1,100,0,0
-6.9563900,42.0392500,1,120,0,0
-6.8928600,37.3081400,1,120,0,0
-6.8928100,38.8116700,1,100,0,0
-6.8784700,37.2341700,1,60,0,0
-6.8269400,42.0330600,1,100,0,0
-6.8026900,37.5081700,1,90,0,0
-6.7866400,38.3469200,1,80,0,0
-6.7480600,38.8602800,1,120,0,0
-6.7470600,53.6761100,1,100,0,0
-6.7188300,37.7978300,1,90,0,0
-6.7112500,42.5756900,1,120,0,0
-6.6921100,37.6186900,1,90,0,0
-6.6304400,53.6110800,1,100,0,0
-6.6168100,38.8478300,1,120,0,0
-6.5777500,53.5605600,1,100,0,0
-6.5755300,37.3524400,1,120,0,0
-6.5491700,39.9994400,1,90,0,0
-6.5488600,37.0447500,1,90,0,0
-6.5325800,53.8258900,1,100,0,0
-6.5322200,42.5763900,1,120,0,0
-6.5251700,37.3599700,1,120,0,0
-6.5154400,37.2431700,1,60,0,0
-6.5002800,53.6412200,1,100,0,0
-6.4825800,53.4579200,1,100,0,0
-6.4787500,39.9080600,1,90,0,0
-6.4471900,39.4571900,1,90,0,0
-6.4430000,53.5625300,1,60,0,0
-6.3997200,53.8125000,1,120,0,0
-6.3874200,54.0167500,1,100,0,0
-6.3865800,53.9613900,1,80,0,0
-6.3813900,53.7436100,1,100,0,0
-6.3790800,39.4747800,1,50,0,0
-6.3731900,38.8086100,1,90,0,0
-6.3690000,38.6272500,1,120,0,0
-6.3680600,39.7978900,1,120,0,0
-6.3581700,42.0210300,1,120,0,0
-6.3540800,53.4625300,1,80,0,0
-6.3379700,38.3823600,1,120,0,0
-6.2930600,36.6284200,1,80,0,0
-6.2769400,37.6918100,1,80,0,0
-6.2671100,38.9478300,1,120,0,0
-6.2540600,53.6504200,1,80,0,0
-6.2521700,36.4626400,1,80,0,0
-6.2488900,36.4604700,1,80,0,0
-6.2327800,37.3194700,1,60,0,0
-6.2283100,37.6578900,1,80,0,0
-6.2152500,42.5796400,1,120,0,0
-6.2008600,36.5449400,1,100,0,0
-6.1963300,36.6339400,1,60,0,0
-6.1940600,53.5043600,1,80,0,0
-6.1792200,42.5515800,1,120,0,0
-6.1781700,36.6451100,1,100,0,0
-6.1520800,36.5285000,1,60,0,0
-6.1311100,39.9789700,1,120,0,0
-6.1151100,39.9736700,1,120,0,0
-6.1108900,43.4723300,1,90,0,0
-6.0821400,37.5258600,1,120,0,0
-6.0773100,42.4463300,1,120,0,0
-6.0666400,36.8333100,1,80,0,0
-6.0458600,36.7120300,1,130,0,0
-6.0363900,37.3631100,1,100,0,0
-6.0339200,37.3875600,1,80,0,0
-6.0330000,38.2562500,1,90,0,0
-6.0327200,37.3630800,1,70,0,0
-6.0281400,37.3289700,1,80,0,0
-6.0104200,37.4982500,1,60,0,0
-6.0016100,37.3561100,1,60,0,0
-5.9956100,37.3509400,1,60,0,0
-5.9908600,37.3470600,1,60,0,0
-5.9866400,37.3433900,1,60,0,0
-5.9855000,37.3427500,1,60,0,0
-5.9786100,54.5974200,1,30,0,0
-5.9479200,37.4043300,1,80,0,0
-5.9471700,37.4029400,1,80,0,0
-5.9458600,37.4195300,1,80,0,0
-5.9429400,43.5541700,1,100,0,0
-5.9390600,54.6295000,1,30,0,0
-5.9380300,37.3480000,1,60,0,0
-5.9322800,37.3860600,1,100,0,0
-5.9322800,37.3861900,1,80,0,0
-5.9300600,37.1180800,1,130,0,0
-5.9293100,37.3421700,1,80,0,0
-5.9291700,43.5441700,1,100,0,0
-5.9125000,40.1272200,1,100,0,0
-5.9102800,38.9605600,1,100,0,0
-5.9075800,54.5504200,1,40,0,0
-5.8826100,37.3719200,1,100,0,0
-5.8824400,37.3714400,1,100,0,0
-5.8754200,43.3643900,1,50,0,0
-5.8739700,37.4325300,1,120,0,0
-5.8730600,54.5956100,1,30,0,0
-5.8720000,43.3227200,1,90,0,0
-5.8709700,43.3683100,1,50,0,0
-5.8709200,43.3680800,1,50,0,0
-5.8560600,43.3649200,1,50,0,0
-5.8506100,43.3558300,1,30,0,0
-5.8485600,40.0251900,1,90,0,0
-5.8450000,42.0230600,1,120,0,0
-5.8394200,43.3493600,1,90,0,0
-5.8324400,37.3480000,1,100,0,0
-5.8290300,43.3706100,1,50,0,0
-5.8288900,43.5286900,1,120,0,0
-5.8283600,43.3554200,1,120,0,0
-5.8255600,43.5261100,1,120,0,0
