X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
8.64870,49.55693,2,70,0,0
10.07389,52.60583,2,50,0,0
12.41416,51.34272,2,50,0,0
12.17978,51.81639,2,60,0,0
13.74750,51.05131,2,50,0,0
9.57013,53.50728,2,60,0,0
9.99158,53.55381,2,50,0,0
9.32002,48.72768,2,50,0,0
14.22853,51.42442,2,50,0,0
13.33814,52.51717,2,60,0,0
8.20098,48.83671,2,50,0,0
9.68380,53.38819,2,50,0,0
7.02941,51.33286,2,50,0,0
7.09717,52.39723,2,70,0,0
8.91250,48.95312,2,60,0,0
13.07802,52.57841,2,50,0,0
13.02861,51.07667,2,50,0,0
9.32986,48.63900,2,50,0,0
7.50758,51.50399,2,60,0,0
8.51528,49.50778,2,70,0,0
13.40100,54.09483,2,50,0,0
9.30580,48.70540,2,50,0,0
8.32669,48.98139,2,70,0,0
8.79437,48.72823,2,60,0,0
7.42427,52.43061,2,70,0,0
13.74763,51.05332,2,50,0,0
9.06688,48.51108,2,50,0,0
9.30586,48.70562,2,50,0,0
8.80194,50.13736,2,70,0,0
7.01052,51.03144,2,50,0,0
8.58750,49.99912,2,50,0,0
10.12224,54.31993,2,50,0,0
9.76849,52.33796,2,50,0,0
7.65551,47.62676,2,50,0,0
11.58930,50.92541,2,50,0,0
8.69143,50.09862,2,50,0,0
8.98710,49.46243,2,50,0,0
13.43749,54.09011,2,50,0,0
11.60500,48.10444,2,50,0,0
12.35967,52.60331,2,50,0,0
10.06389,52.60639,2,50,0,0
7.01223,51.47894,2,50,0,0
10.91576,49.90404,2,50,0,0
9.20437,48.49139,,50,0,0
8.54914,52.00640,2,50,0,0
13.41751,54.08000,2,50,0,0
7.80173,51.92755,2,70,0,0
7.30230,52.67440,2,70,0,0
8.26743,49.99512,2,70,0,0
7.22111,51.46070,2,50,0,0
9.20481,48.49130,,50,0,0
6.91092,51.09344,2,50,0,0
11.51667,48.11306,2,50,0,0
9.98563,53.54913,2,50,0,0
10.71619,52.50250,2,50,0,0
9.16221,47.66660,2,60,0,0
9.47335,47.65773,2,50,0,0
14.22789,51.42450,2,50,0,0
13.15472,51.20000,2,60,0,0
9.72705,52.38113,3,0,0,0
13.42092,54.07815,3,0,0,0
8.90029,53.12417,3,0,0,0
12.32606,51.32032,3,0,0,0
11.46112,53.88194,3,0,0,0
10.52318,52.27096,3,0,0,0
7.20373,50.79435,3,0,0,0
9.72216,52.37857,3,0,0,0
12.35841,51.34213,3,0,0,0
8.67889,48.89000,3,0,0,0
10.19556,50.05278,3,0,0,0
13.28194,52.53361,3,0,0,0
8.83389,49.82861,3,0,0,0
10.09222,48.83500,3,0,0,0
6.96889,50.95583,3,0,0,0
12.90161,50.83197,3,0,0,0
13.16207,52.37583,3,0,0,0
11.51833,48.11083,3,0,0,0
12.12250,54.07528,3,0,0,0
