X;Y;TYPE;SPEED;DIRTYPE;DIRECTION
834.472;4.900.083;3;0;0;0
913.697;4.894.976;3;0;0;0
1.158.028;4.994.621;3;0;0;0
841.472;4.900.750;3;0;0;0
1.090.756;4.838.588;3;0;0;0
713.006;5.126.632;3;0;0;0
973.807;5.238.167;3;0;0;0
1.232.279;5.137.500;3;0;0;0
873.362;5.017.444;3;0;0;0
1.224.284;5.183.532;3;0;0;0
1.340.889;5.251.667;3;0;0;0
1.245.076;5.136.380;3;0;0;0
977.807;4.949.056;3;0;0;0
1.077.611;5.242.806;3;0;0;0
1.100.611;4.948.151;3;0;0;0
869.251;4.940.722;3;0;0;0
1.426.471;5.143.696;3;0;0;0
852.389;4.806.278;3;0;0;0
707.159;5.242.860;3;0;0;0
873.444;4.999.806;3;0;0;0
1.084.898;4.837.418;3;0;0;0
1.005.568;5.359.133;3;0;0;0
1.237.112;5.134.806;3;0;0;0
1.426.973;5.144.250;3;0;0;0
1.104.222;5.096.944;3;0;0;0
1.006.752;5.358.242;3;0;0;0
913.168;4.895.722;3;0;0;0
710.473;5.125.333;3;0;0;0
784.240;5.168.867;3;0;0;0
820.362;4.886.806;3;0;0;0
887.574;5.308.259;3;0;0;0
880.618;5.307.366;3;0;0;0
1.237.751;5.134.889;3;0;0;0
747.528;5.150.667;3;0;0;0
868.348;4.942.847;3;0;0;0
823.142;5.007.466;3;0;0;0
900.945;4.868.528;3;0;0;0
865.522;4.954.940;3;0;0;0
871.544;5.313.563;3;0;0;0
851.640;4.948.861;3;0;0;0
883.166;5.308.129;3;0;0;0
878.546;5.002.747;3;0;0;0
1.109.745;4.945.003;3;0;0;0
1.230.806;5.132.083;3;0;0;0
1.070.140;5.385.222;3;0;0;0
950.139;5.360.111;3;0;0;0
921.721;4.867.622;3;0;0;0
825.673;5.007.254;3;0;0;0
875.304;5.025.383;3;0;0;0
979.056;4.809.361;3;0;0;0
883.963;4.825.602;3;0;0;0
828.820;5.001.975;3;0;0;0
784.515;4.799.090;3;0;0;0
609.583;5.077.444;3;0;0;0
1.025.057;5.151.583;3;0;0;0
882.651;4.984.245;3;0;0;0
1.198.365;5.147.244;3;0;0;0
786.930;4.798.852;3;0;0;0
929.918;4.882.139;3;0;0;0
1.291.778;5.079.677;3;0;0;0
849.193;4.947.771;3;0;0;0
1.331.640;5.246.427;3;0;0;0
780.922;5.169.068;3;0;0;0
705.560;5.242.262;3;0;0;0
761.897;5.195.254;3;0;0;0
918.306;4.878.250;3;0;0;0
623.512;5.085.275;3;0;0;0
916.722;4.891.222;3;0;0;0
866.945;4.986.778;3;0;0;0
868.371;5.013.165;3;0;0;0
868.381;5.013.155;3;0;0;0
875.589;4.962.558;3;0;0;0
785.306;4.801.333;3;0;0;0
920.419;4.886.172;3;0;0;0
781.501;5.168.306;3;0;0;0
1.015.361;4.867.917;3;0;0;0
902.999;4.869.528;3;0;0;0
871.538;5.313.515;3;0;0;0
859.306;5.355.694;3;0;0;0
1.002.597;5.355.710;3;0;0;0
1.166.695;5.213.167;3;0;0;0
1.497.223;5.114.306;3;0;0;0
805.292;5.226.735;3;0;0;0
799.102;5.229.624;3;0;0;0
870.501;4.889.306;3;0;0;0
784.930;5.167.120;3;0;0;0
1.142.778;5.359.667;3;0;0;0
855.279;5.205.694;3;0;0;0
783.258;4.799.395;3;0;0;0
824.029;5.187.917;3;0;0;0
608.899;5.078.224;3;0;0;0
1.105.890;4.944.333;3;0;0;0
847.557;4.948.500;3;0;0;0
1.333.088;5.249.069;3;0;0;0
889.223;5.307.917;3;0;0;0
887.540;5.308.196;3;0;0;0
878.581;5.002.759;3;0;0;0
932.273;4.883.186;3;0;0;0
1.098.944;4.945.194;3;0;0;0
1.140.944;4.877.528;3;0;0;0
718.418;5.127.861;3;0;0;0
1.104.028;5.098.056;3;0;0;0
995.417;5.215.028;3;0;0;0
863.237;4.988.798;3;0;0;0
1.104.000;4.945.417;3;0;0;0
1.235.862;5.134.306;3;0;0;0
1.032.404;4.773.432;3;0;0;0
1.051.489;5.226.702;3;0;0;0
1.205.833;4.901.389;3;0;0;0
